x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
-2.4833914083168223,-2.282015091060464,8,6,6,10,10,4,10,6,1
0.21877488045289095,-0.3654666384251957,6,6,6,8,8,6,6,6,1
5.323718416692102,2.3673974480293265,8,6,4,10,2,4,8,8,1
-3.9821933269045906,3.5766541229639035,10,10,6,10,8,2,6,6,2
1.9166656045287904,1.0969469278568953,8,8,6,8,6,4,10,8,1
-1.9732167141088808,-0.01801891092469921,8,6,6,10,8,6,6,4,1
-0.14002416791146305,-0.6175079823468491,8,6,6,8,8,6,8,6,1
4.099938779919112,-6.866708005626729,2,6,6,10,8,10,10,8,0
1.3361976632405013,-5.036171265876691,4,6,8,10,8,6,10,8,1
4.339996025614503,-8.543726136477357,4,2,2,10,8,6,10,8,0
-3.3894536798372035,0.27164126609261885,8,8,6,10,10,4,8,6,1
2.5576510373348866,-4.248324328497415,4,6,6,8,10,6,10,6,0
0.29940894511445054,-3.930792909501465,6,6,6,10,8,6,10,8,1
-0.4573792757888584,-2.858574559847627,6,6,6,10,8,6,8,6,1
-3.7948730835900792,0.019176655256498292,10,8,6,10,10,6,8,6,1
1.8158492398883892,-0.20269453433139253,8,6,6,8,8,8,6,6,1
-5.12966157715251,2.6192527900720406,10,10,6,10,10,4,4,6,2
-1.7237574038400496,2.538362298695404,10,8,6,6,10,4,6,6,2
-2.5496186390496463,3.949132581028316,10,8,6,8,8,2,6,4,2
-2.977512018792279,-3.8349484664592133,8,6,4,6,8,6,10,8,1
-5.913988885754587,6.632565440830983,10,10,4,10,8,2,2,4,2
0.9795719463078734,-1.8812403825496966,8,6,6,6,8,6,10,6,1
-0.20957808243468465,-5.218804056222256,6,6,6,10,10,8,10,6,1
-4.116446617694814,2.0016524116867846,8,8,4,10,6,2,8,4,2
0.05124795063741332,8.57715261261443,6,10,6,6,6,2,4,2,2
4.749555681459709,4.562373093545227,8,8,6,2,10,6,8,6,1
-5.28153171464162,5.424050180940712,10,10,6,10,8,2,4,4,2
3.884281363524404,-1.2707398964499892,6,4,6,6,6,4,8,8,1
1.7243523370947194,-1.6692265629998657,6,6,6,10,6,4,10,8,1
3.347389203015527,2.0895410951110676,8,8,2,10,6,4,8,8,1
-5.87358590057061,5.374593545553789,10,10,6,10,8,2,4,6,2
-1.5689123375973675,6.8713299686642335,10,10,6,4,10,2,4,4,2
5.981768267125273,-1.9817764838676124,4,6,6,6,4,8,8,8,1
-5.130478780047753,3.442183891040064,10,10,6,10,8,2,6,4,2
1.2655458285420014,-1.9481061049070196,8,6,6,6,8,6,10,6,1
0.33895833133667813,-0.7304434154211668,8,8,6,10,6,6,8,8,1
2.2180982162136442,0.23844394406222164,8,6,6,10,4,6,8,8,1
-5.434435510728054,0.6799857054034261,10,10,6,10,10,4,8,6,2
0.8941509616029188,-0.010950746538320986,8,6,6,6,8,6,8,6,1
2.690961286906633,-1.2710218550606154,8,6,2,10,6,4,10,8,1
1.1211657004334055,-1.7305081368502828,8,6,6,10,6,6,10,8,1
-0.011805541469815937,-5.264646798621166,6,4,8,10,10,6,10,6,0
-0.9691449107159671,-4.6082026206744,6,6,6,10,10,6,10,8,1
-6.078464451123266,1.3515693185795645,10,10,6,10,6,2,8,4,2
5.105266721370035,2.074083346688026,6,8,6,4,6,6,8,8,1
-2.8062379860926296,6.376192800302179,8,10,4,10,8,2,4,6,2
-1.2634973266561758,8.720695962560459,10,10,4,4,8,2,4,6,2
5.108836357135252,0.02592824356878705,4,6,6,4,6,4,8,8,1
0.7102254904976857,-1.0949980192565094,8,8,4,10,8,4,10,8,1
3.9694263521620714,3.1504412782654088,8,8,2,10,6,6,6,8,1
7.665033796385681,0.954363283978645,4,8,6,10,10,2,4,10,0
-1.7651266028375243,-1.7276266248391678,8,8,6,8,10,6,10,6,1
-1.9965331548793614,-5.932967789940604,4,6,6,10,10,4,8,8,0
3.1847312317933367,-4.378295737226316,4,6,6,10,8,6,8,8,0
-0.7822414155672665,-1.995548009521013,8,6,6,10,10,6,8,6,1
-0.8758787033463321,-3.6040695980580435,6,6,6,10,10,8,8,6,1
-0.49889245890002826,-2.6984815632089325,8,6,6,10,8,6,10,6,1
-1.6920873681812396,-3.736656681086747,8,6,8,10,10,6,10,6,1
0.18281703619437065,-2.098785225849888,8,6,6,10,8,6,10,8,1
-2.1558960287960596,-1.1859672714765577,8,6,8,10,8,6,8,4,1
-2.84085195163786,4.798715928738838,10,10,6,8,8,2,6,4,2
8.852696305768369,-4.679860740433588,4,2,4,4,8,6,10,8,0
-0.2196075995956289,-1.7997377970933062,6,6,6,10,8,6,8,6,1
-0.011073378000094261,-9.534420017923122,6,2,2,10,10,6,8,4,0
-0.5335530262793342,-3.491956087388265,8,6,6,10,10,6,8,8,1
-3.686960798667203,-0.82383218397832,10,10,6,10,10,6,8,6,1
4.8728836536161175,-7.107544707247152,2,2,8,6,10,6,10,8,0
-6.853134046400132,-9.846754396838923,2,2,2,10,10,2,6,2,0
6.2938931880044295,4.260496772804058,8,6,6,2,8,6,8,6,1
-0.8727791206665555,-2.8016053888691905,8,6,6,10,8,6,10,6,1
-1.4791464487736592,-1.0053405420112875,8,6,6,10,6,6,8,6,1
-4.567575906908485,4.793792910757363,10,10,6,10,8,2,4,4,2
-1.1695446063414203,7.459311882488852,10,10,2,6,8,2,4,4,2
2.181982186782559,-0.7741185329233398,8,6,6,6,8,6,8,6,1
-0.045408324297253715,-2.3812955223974073,6,6,6,10,8,6,10,6,1
-2.521546176671754,-2.7875820386298105,8,8,8,10,8,6,10,6,1
-8.03653457113793,2.7796582952025854,10,8,2,10,10,2,4,4,2
7.374361689401367,-0.7579173930917035,6,6,6,2,10,6,10,4,1
-5.816686643603906,2.7660624238357223,10,10,6,10,8,6,2,6,2
8.837454965651022,-3.6599926131998077,2,6,6,6,10,10,6,8,0
3.0498205167126478,-4.921366575217884,4,4,6,10,8,6,8,8,0
3.491393454465496,1.0649237273149363,6,8,6,10,4,6,6,8,1
-6.065642117381223,5.296600966403304,10,10,6,10,10,2,4,6,2
3.9648602858039186,2.5861566941905,8,6,6,4,4,4,8,8,1
-1.601134304567962,-2.2684688712813017,8,6,8,10,10,6,8,6,1
-3.3175770247685255,4.154412457794786,10,10,6,8,8,4,4,6,2
4.153901844054557,1.8381312542891959,8,6,2,6,4,4,8,8,1
-4.027594041156961,4.68106156075458,10,10,4,10,8,2,4,6,2
-0.2104316514103125,6.273096836236693,10,8,4,6,6,2,6,4,2
4.1641755259493705,1.9700380365943486,8,6,2,6,6,4,8,8,1
-0.9266910469680314,-1.674827021666599,8,6,6,10,8,6,8,6,1
-6.729623086066143,5.896691449778415,10,10,6,10,10,2,2,6,2
-3.2612081910269595,7.558998068150779,10,10,6,6,8,2,4,2,2
-0.5034357557690373,7.281420296874706,10,6,6,6,6,2,4,2,2
1.8451514279832155,3.500579743306174,8,8,2,8,6,6,4,8,1
-4.012440886393187,0.7570929046803976,10,10,6,10,10,6,6,6,2
